prob_default,uncertainty,segment
0.4806157,0.027378248,Medium / Monitor
0.4437836,0.02533786,Medium / Monitor
0.3730384,0.040637515,Medium / Monitor
0.29605573,0.030336587,Low Risk
0.69833493,0.015846834,Medium / Monitor
0.5071687,0.034808,Medium / Monitor
0.58352506,0.03172376,Medium / Monitor
0.5394568,0.026792752,Medium / Monitor
0.33627424,0.03019985,Medium / Monitor
0.5982141,0.019315103,Medium / Monitor
0.5075306,0.0197214,Medium / Monitor
0.5010996,0.024626333,Medium / Monitor
0.24228455,0.033368744,Low Risk
0.7684901,0.018165836,High Risk (Confident)
0.5830777,0.017428312,Medium / Monitor
0.7142006,0.017885627,High Risk (Confident)
0.39798558,0.016343996,Medium / Monitor
0.66311973,0.040872674,Medium / Monitor
0.4346255,0.01925537,Medium / Monitor
0.39917505,0.014807496,Medium / Monitor
0.52164674,0.018067596,Medium / Monitor
0.5545793,0.016743166,Medium / Monitor
0.53766304,0.029705314,Medium / Monitor
0.34539583,0.027134893,Medium / Monitor
0.3414816,0.010195678,Medium / Monitor
0.4782091,0.070861794,Medium / Monitor
0.34704572,0.017349884,Medium / Monitor
0.6580674,0.023805354,Medium / Monitor
0.29713884,0.015546721,Low Risk
0.43448973,0.020311814,Medium / Monitor
0.42900312,0.029232617,Medium / Monitor
0.43135932,0.017684162,Medium / Monitor
0.6006566,0.016344847,Medium / Monitor
0.4898137,0.02205176,Medium / Monitor
0.7502139,0.00934482,High Risk (Confident)
0.2601192,0.027528115,Low Risk
0.44741237,0.016067432,Medium / Monitor
0.60252136,0.016267397,Medium / Monitor
0.49525827,0.020351185,Medium / Monitor
0.7580652,0.018366456,High Risk (Confident)
0.6525367,0.02379485,Medium / Monitor
0.640175,0.018941006,Medium / Monitor
0.5570812,0.03622752,Medium / Monitor
0.23950498,0.0130463,Low Risk
0.53925055,0.011051712,Medium / Monitor
0.32914183,0.010845027,Medium / Monitor
0.31340086,0.049757913,Medium / Monitor
0.5591032,0.018810516,Medium / Monitor
0.34136328,0.024941709,Medium / Monitor
0.23556468,0.03409107,Low Risk
0.49876603,0.02543695,Medium / Monitor
0.42011288,0.021151723,Medium / Monitor
0.69140947,0.015531081,Medium / Monitor
0.51031137,0.026100183,Medium / Monitor
0.5797843,0.019025952,Medium / Monitor
0.34940735,0.02880833,Medium / Monitor
0.5171793,0.020326534,Medium / Monitor
0.4633433,0.04215179,Medium / Monitor
0.5364582,0.02079715,Medium / Monitor
0.2144169,0.034676626,Low Risk
0.32699814,0.014916692,Medium / Monitor
0.59375817,0.021195613,Medium / Monitor
0.22984438,0.01996014,Low Risk
0.31810847,0.020866027,Medium / Monitor
0.7461143,0.0127493795,High Risk (Confident)
0.3018368,0.019595632,Medium / Monitor
0.5931013,0.022759156,Medium / Monitor
0.31463146,0.03110545,Medium / Monitor
0.7351603,0.015651204,High Risk (Confident)
0.21650723,0.017994396,Low Risk
0.5782171,0.012887586,Medium / Monitor
0.4763364,0.018796535,Medium / Monitor
0.7227995,0.013897106,High Risk (Confident)
0.2730233,0.018236898,Low Risk
0.559352,0.012685512,Medium / Monitor
0.3709312,0.03141962,Medium / Monitor
0.49171975,0.017990405,Medium / Monitor
0.6335343,0.021409344,Medium / Monitor
0.2268373,0.027498338,Low Risk
0.43387052,0.019609509,Medium / Monitor
0.50017947,0.0217642,Medium / Monitor
0.46136492,0.020944003,Medium / Monitor
0.66674817,0.01403598,Medium / Monitor
0.42233545,0.022413818,Medium / Monitor
0.6435019,0.01773281,Medium / Monitor
0.5653496,0.017128723,Medium / Monitor
0.6928821,0.016257254,Medium / Monitor
0.15971372,0.021643171,Low Risk
0.5742683,0.027397063,Medium / Monitor
0.5236786,0.022134969,Medium / Monitor
0.43826693,0.022864087,Medium / Monitor
0.454992,0.01930024,Medium / Monitor
0.71360725,0.01626935,High Risk (Confident)
0.39706102,0.013492223,Medium / Monitor
0.33411184,0.053407896,Medium / Monitor
0.6635978,0.03113338,Medium / Monitor
0.5725071,0.023728307,Medium / Monitor
0.73731345,0.035052687,High Risk (Confident)
0.52561694,0.015131719,Medium / Monitor
0.6082004,0.029697908,Medium / Monitor
0.5292164,0.019834269,Medium / Monitor
0.3701118,0.016347218,Medium / Monitor
0.33022207,0.017653735,Medium / Monitor
0.5693275,0.015800202,Medium / Monitor
0.25615662,0.046822574,Low Risk
0.47490397,0.034666974,Medium / Monitor
0.3592434,0.018316584,Medium / Monitor
0.44506776,0.017487934,Medium / Monitor
0.48753726,0.016667772,Medium / Monitor
0.23486672,0.025312833,Low Risk
0.5324525,0.014852192,Medium / Monitor
0.34205595,0.016899616,Medium / Monitor
0.50879323,0.021038976,Medium / Monitor
0.47779548,0.01769445,Medium / Monitor
0.35722867,0.019384345,Medium / Monitor
0.5617856,0.039457746,Medium / Monitor
0.66577893,0.020942677,Medium / Monitor
0.38601765,0.016729936,Medium / Monitor
0.29718053,0.013549701,Low Risk
0.4628186,0.019728573,Medium / Monitor
0.4291865,0.017425986,Medium / Monitor
0.08769383,0.011004051,Low Risk
0.3451448,0.038153537,Medium / Monitor
0.7727012,0.01626036,High Risk (Confident)
0.63189024,0.013676524,Medium / Monitor
0.5007135,0.020680383,Medium / Monitor
0.7429907,0.016353663,High Risk (Confident)
0.46312773,0.019062622,Medium / Monitor
0.46715638,0.023379147,Medium / Monitor
0.48063818,0.011271967,Medium / Monitor
0.24800345,0.04150211,Low Risk
0.56402946,0.020607471,Medium / Monitor
0.3293992,0.024747709,Medium / Monitor
0.5758242,0.02036993,Medium / Monitor
0.42947963,0.01247626,Medium / Monitor
0.48393616,0.01961635,Medium / Monitor
0.6771418,0.022643432,Medium / Monitor
0.6323696,0.016755586,Medium / Monitor
0.63402486,0.028951773,Medium / Monitor
0.53750896,0.045203183,Medium / Monitor
0.31134287,0.01684802,Medium / Monitor
0.5160804,0.01847126,Medium / Monitor
0.58337384,0.02669523,Medium / Monitor
0.563847,0.02045787,Medium / Monitor
0.41533357,0.026831124,Medium / Monitor
0.4572768,0.01012238,Medium / Monitor
0.46596587,0.024658086,Medium / Monitor
0.30378792,0.022790687,Medium / Monitor
0.67819667,0.014113962,Medium / Monitor
0.7202689,0.006745749,High Risk (Confident)
0.5734523,0.0194862,Medium / Monitor
0.5081233,0.02916594,Medium / Monitor
0.41152337,0.017117701,Medium / Monitor
0.4015867,0.02191947,Medium / Monitor
0.44300264,0.022796234,Medium / Monitor
0.53988963,0.02655429,Medium / Monitor
0.48203033,0.01668428,Medium / Monitor
0.46251434,0.04891803,Medium / Monitor
0.34561118,0.020574508,Medium / Monitor
0.566375,0.024917737,Medium / Monitor
0.31043753,0.062676325,Medium / Monitor
0.24877661,0.022967203,Low Risk
0.6644304,0.014818073,Medium / Monitor
0.30683932,0.060188416,Medium / Monitor
0.17717615,0.021991381,Low Risk
0.64320344,0.014232906,Medium / Monitor
0.67641824,0.012419554,Medium / Monitor
0.44245535,0.020900367,Medium / Monitor
0.4234868,0.019593181,Medium / Monitor
0.4360388,0.016294144,Medium / Monitor
0.43320435,0.01754811,Medium / Monitor
0.7734011,0.01556584,High Risk (Confident)
0.6884338,0.018153457,Medium / Monitor
0.44405836,0.0149799725,Medium / Monitor
0.6107785,0.022015594,Medium / Monitor
0.3190233,0.017165778,Medium / Monitor
0.6681725,0.018757375,Medium / Monitor
0.43555102,0.020101026,Medium / Monitor
0.44982067,0.024653034,Medium / Monitor
0.5082184,0.014684516,Medium / Monitor
0.52340764,0.022542372,Medium / Monitor
0.6118122,0.017123405,Medium / Monitor
0.37321758,0.018100424,Medium / Monitor
0.61264414,0.01649773,Medium / Monitor
0.6001562,0.019422822,Medium / Monitor
0.6078239,0.020223385,Medium / Monitor
0.34386948,0.024458865,Medium / Monitor
0.4637109,0.032371547,Medium / Monitor
0.3240233,0.025162023,Medium / Monitor
0.24584158,0.06464116,Low Risk
0.44583747,0.0281579,Medium / Monitor
0.37788624,0.040640634,Medium / Monitor
0.54016274,0.015484619,Medium / Monitor
0.39831,0.023308866,Medium / Monitor
0.30401313,0.014829793,Medium / Monitor
0.3732295,0.018902827,Medium / Monitor
0.6376382,0.04196526,Medium / Monitor
0.4680653,0.02148364,Medium / Monitor
0.44961327,0.017576782,Medium / Monitor
0.33304274,0.020233946,Medium / Monitor
0.4163268,0.06759222,Medium / Monitor
0.32297572,0.021985428,Medium / Monitor
0.19287397,0.021076713,Low Risk
0.73657054,0.016049232,High Risk (Confident)
0.45921847,0.031330712,Medium / Monitor
0.54733086,0.023299774,Medium / Monitor
0.2083704,0.04722592,Low Risk
0.64438707,0.01498087,Medium / Monitor
0.2724897,0.016492395,Low Risk
0.6923522,0.0140935965,Medium / Monitor
0.6084948,0.028525922,Medium / Monitor
0.62833816,0.024586897,Medium / Monitor
0.35897166,0.03660197,Medium / Monitor
0.39345545,0.01791342,Medium / Monitor
0.3434706,0.025280714,Medium / Monitor
0.46206826,0.020893596,Medium / Monitor
0.43050525,0.016340429,Medium / Monitor
0.5517482,0.017755175,Medium / Monitor
0.5578274,0.028035352,Medium / Monitor
0.3506931,0.038853053,Medium / Monitor
0.35875934,0.02378533,Medium / Monitor
0.5325676,0.016383706,Medium / Monitor
0.5338679,0.023190085,Medium / Monitor
0.44826493,0.036842067,Medium / Monitor
0.42528304,0.025492635,Medium / Monitor
0.30385122,0.03108768,Medium / Monitor
0.2609851,0.025559358,Low Risk
0.7350363,0.016937975,High Risk (Confident)
0.55469614,0.04598138,Medium / Monitor
0.59351474,0.021239405,Medium / Monitor
0.49613371,0.038190912,Medium / Monitor
0.63337314,0.012060314,Medium / Monitor
0.48399106,0.045753803,Medium / Monitor
0.3779479,0.0185893,Medium / Monitor
0.54129636,0.023491004,Medium / Monitor
0.60387975,0.016564537,Medium / Monitor
0.5683181,0.014616558,Medium / Monitor
0.6417142,0.029696064,Medium / Monitor
0.2939861,0.022044545,Low Risk
0.5304327,0.04022224,Medium / Monitor
0.19121554,0.031910256,Low Risk
0.47679555,0.017953629,Medium / Monitor
0.34244332,0.027275158,Medium / Monitor
0.32641494,0.04371617,Medium / Monitor
0.507598,0.015811395,Medium / Monitor
0.3268856,0.023238573,Medium / Monitor
0.2923093,0.019399863,Low Risk
0.11371229,0.015890157,Low Risk
0.31545946,0.031676337,Medium / Monitor
0.56068575,0.016137647,Medium / Monitor
0.27245805,0.044025645,Low Risk
0.69274646,0.012335622,Medium / Monitor
0.36586767,0.031042287,Medium / Monitor
0.6775141,0.011266372,Medium / Monitor
0.5597872,0.026664948,Medium / Monitor
0.4646304,0.026668197,Medium / Monitor
0.5667476,0.017144928,Medium / Monitor
0.121398576,0.0150741665,Low Risk
0.6597127,0.022398911,Medium / Monitor
0.2533948,0.020231739,Low Risk
0.31185797,0.0449134,Medium / Monitor
0.19858602,0.030921688,Low Risk
0.5029817,0.019410498,Medium / Monitor
0.71417207,0.012812348,High Risk (Confident)
0.3893121,0.029821698,Medium / Monitor
0.32752216,0.019272946,Medium / Monitor
0.30979565,0.07087848,Medium / Monitor
0.2626572,0.05376632,Low Risk
0.5600986,0.015101463,Medium / Monitor
0.30323157,0.012442636,Medium / Monitor
0.660282,0.02005378,Medium / Monitor
0.25107366,0.024377072,Low Risk
0.35299838,0.019426059,Medium / Monitor
0.7287117,0.013565366,High Risk (Confident)
0.5272764,0.00974663,Medium / Monitor
0.14752075,0.023957964,Low Risk
0.5831315,0.018904837,Medium / Monitor
0.26505414,0.021306481,Low Risk
0.52141213,0.01684548,Medium / Monitor
0.50961655,0.024144482,Medium / Monitor
0.5241144,0.019064657,Medium / Monitor
0.47579196,0.030206736,Medium / Monitor
0.75660294,0.017154302,High Risk (Confident)
0.63845813,0.023112044,Medium / Monitor
0.65686136,0.017690502,Medium / Monitor
0.36734283,0.020224065,Medium / Monitor
0.5953319,0.018528825,Medium / Monitor
0.41087136,0.019813381,Medium / Monitor
0.3340143,0.06860403,Medium / Monitor
0.21145682,0.048690118,Low Risk
0.4469365,0.04350417,Medium / Monitor
0.5288753,0.0219183,Medium / Monitor
0.38824886,0.022918275,Medium / Monitor
0.5812318,0.020955684,Medium / Monitor
0.38797954,0.012200481,Medium / Monitor
0.48003703,0.024059314,Medium / Monitor
0.15698719,0.01890036,Low Risk
0.4267088,0.07244977,Medium / Monitor
0.3586026,0.02107061,Medium / Monitor
0.27166933,0.040593017,Low Risk
0.47617668,0.02375308,Medium / Monitor
0.11689366,0.01351547,Low Risk
0.5869658,0.011977566,Medium / Monitor
0.78041583,0.011514208,High Risk (Confident)
0.6900132,0.014575552,Medium / Monitor
0.65851104,0.016312044,Medium / Monitor
0.46112043,0.025452515,Medium / Monitor
0.48732138,0.021347893,Medium / Monitor
0.47318223,0.024713116,Medium / Monitor
0.4237859,0.013820934,Medium / Monitor
0.47857994,0.01256999,Medium / Monitor
0.41731822,0.022616792,Medium / Monitor
0.33186805,0.061740387,Medium / Monitor
0.4983674,0.025563894,Medium / Monitor
0.5994098,0.023028405,Medium / Monitor
0.5356969,0.03117764,Medium / Monitor
0.5465279,0.024671292,Medium / Monitor
0.45442984,0.023530144,Medium / Monitor
0.6117257,0.016001804,Medium / Monitor
0.4441885,0.019256217,Medium / Monitor
0.44773027,0.023517193,Medium / Monitor
0.47726968,0.025667366,Medium / Monitor
0.28379932,0.020587586,Low Risk
0.79936814,0.013638335,High Risk (Confident)
0.27573293,0.027119683,Low Risk
0.3124099,0.048043914,Medium / Monitor
0.75386626,0.013483212,High Risk (Confident)
0.28814256,0.022744117,Low Risk
0.4099544,0.029939834,Medium / Monitor
0.39611244,0.030083727,Medium / Monitor
0.24842648,0.022560298,Low Risk
0.30406284,0.04070268,Medium / Monitor
0.35818917,0.016614292,Medium / Monitor
0.4406961,0.03949349,Medium / Monitor
0.6193625,0.021430757,Medium / Monitor
0.47230884,0.03233978,Medium / Monitor
0.40076977,0.021200994,Medium / Monitor
0.458159,0.013376903,Medium / Monitor
0.43412638,0.016318908,Medium / Monitor
0.61332023,0.012408728,Medium / Monitor
0.50275683,0.015542706,Medium / Monitor
0.2674872,0.01946591,Low Risk
0.27827033,0.019943744,Low Risk
0.3999157,0.014312514,Medium / Monitor
0.65674883,0.020463327,Medium / Monitor
0.5009404,0.015862038,Medium / Monitor
0.37511367,0.016452592,Medium / Monitor
0.03294231,0.0153099755,Low Risk
0.3822505,0.01756792,Medium / Monitor
0.39162478,0.027561972,Medium / Monitor
0.67818207,0.020100893,Medium / Monitor
0.19972299,0.03803857,Low Risk
0.22767022,0.019165346,Low Risk
0.44245014,0.022086738,Medium / Monitor
0.54917675,0.019909503,Medium / Monitor
0.63498104,0.024494369,Medium / Monitor
0.3991627,0.054698754,Medium / Monitor
0.6602575,0.017465599,Medium / Monitor
0.6321995,0.014599793,Medium / Monitor
0.7837154,0.012845827,High Risk (Confident)
0.4268185,0.013506335,Medium / Monitor
0.61496055,0.01650769,Medium / Monitor
0.37959212,0.013002803,Medium / Monitor
0.47408882,0.019524956,Medium / Monitor
0.55544156,0.022770694,Medium / Monitor
0.4968129,0.03546158,Medium / Monitor
0.3320107,0.0146297105,Medium / Monitor
0.5465607,0.015381014,Medium / Monitor
0.26347536,0.015139516,Low Risk
0.16082571,0.037607886,Low Risk
0.30556673,0.018132238,Medium / Monitor
0.5211711,0.019220347,Medium / Monitor
0.5244501,0.019903801,Medium / Monitor
0.48246545,0.033823453,Medium / Monitor
0.78850555,0.011940062,High Risk (Confident)
0.50857836,0.028839234,Medium / Monitor
0.49248102,0.012659804,Medium / Monitor
0.27885336,0.03941804,Low Risk
0.2946206,0.07168039,Low Risk
0.16556267,0.028877871,Low Risk
0.53161883,0.019232104,Medium / Monitor
0.30661756,0.016434927,Medium / Monitor
0.5283826,0.021250615,Medium / Monitor
0.54155916,0.020843912,Medium / Monitor
0.6549652,0.015147441,Medium / Monitor
0.5976923,0.016670188,Medium / Monitor
0.0521703,0.03269499,Low Risk
0.733069,0.010334996,High Risk (Confident)
0.38611177,0.041860767,Medium / Monitor
0.422664,0.029771537,Medium / Monitor
0.53068,0.018941069,Medium / Monitor
0.69241595,0.016675921,Medium / Monitor
0.6442351,0.012492157,Medium / Monitor
0.42554697,0.023549987,Medium / Monitor
0.4133958,0.016237555,Medium / Monitor
0.62180835,0.018275576,Medium / Monitor
0.36572778,0.0132040605,Medium / Monitor
0.36135805,0.021561561,Medium / Monitor
0.3159417,0.022910023,Medium / Monitor
0.77740836,0.011774877,High Risk (Confident)
0.52089936,0.015962759,Medium / Monitor
0.36378556,0.056832284,Medium / Monitor
0.5017479,0.030112624,Medium / Monitor
0.5417143,0.011787879,Medium / Monitor
0.6272583,0.021970363,Medium / Monitor
0.5010124,0.025413841,Medium / Monitor
0.3115549,0.031018477,Medium / Monitor
0.40036425,0.040318035,Medium / Monitor
0.43551448,0.015673509,Medium / Monitor
0.42017755,0.02241856,Medium / Monitor
0.19033514,0.040330715,Low Risk
0.65984315,0.023473827,Medium / Monitor
0.36037323,0.026121756,Medium / Monitor
0.31919062,0.0346079,Medium / Monitor
0.5201949,0.017285727,Medium / Monitor
0.21307994,0.0326012,Low Risk
0.29099545,0.026038337,Low Risk
0.56598026,0.017729707,Medium / Monitor
0.549036,0.021283621,Medium / Monitor
0.50920117,0.059156697,Medium / Monitor
0.63051933,0.019635918,Medium / Monitor
0.53455776,0.01873261,Medium / Monitor
0.7429637,0.01821231,High Risk (Confident)
0.66710293,0.021827513,Medium / Monitor
0.27385992,0.030887024,Low Risk
0.53693545,0.023359703,Medium / Monitor
0.33287838,0.03570521,Medium / Monitor
0.3439626,0.020275937,Medium / Monitor
0.6768879,0.021110076,Medium / Monitor
0.42804697,0.036687266,Medium / Monitor
0.7449074,0.010206796,High Risk (Confident)
0.45628655,0.019595588,Medium / Monitor
0.60858285,0.024788631,Medium / Monitor
0.33957392,0.028435417,Medium / Monitor
0.5783626,0.014159985,Medium / Monitor
0.43680388,0.014647499,Medium / Monitor
0.3276506,0.019184543,Medium / Monitor
0.55876803,0.01572328,Medium / Monitor
0.26836818,0.017683763,Low Risk
0.6092928,0.016451558,Medium / Monitor
0.6016181,0.015246111,Medium / Monitor
0.60939753,0.03540717,Medium / Monitor
0.59400505,0.02035944,Medium / Monitor
0.62303394,0.020852905,Medium / Monitor
0.57512116,0.017066149,Medium / Monitor
0.64194196,0.037831023,Medium / Monitor
0.5173368,0.020607257,Medium / Monitor
0.17826274,0.016620187,Low Risk
0.69337666,0.012383831,Medium / Monitor
0.36319417,0.02093531,Medium / Monitor
0.29952666,0.028675381,Low Risk
0.3551633,0.023460926,Medium / Monitor
0.4192346,0.024551302,Medium / Monitor
0.29443648,0.025037454,Low Risk
0.71022594,0.020856805,High Risk (Confident)
0.17603631,0.0121648675,Low Risk
0.35987228,0.028141718,Medium / Monitor
0.79107636,0.008758989,High Risk (Confident)
0.65143996,0.012927458,Medium / Monitor
0.2219379,0.022524271,Low Risk
0.2777356,0.034207847,Low Risk
0.37713167,0.024894776,Medium / Monitor
0.43993458,0.018389106,Medium / Monitor
0.7344069,0.025136326,High Risk (Confident)
0.7547356,0.026940856,High Risk (Confident)
0.5541155,0.014508704,Medium / Monitor
0.37320507,0.021546,Medium / Monitor
0.35913178,0.012227571,Medium / Monitor
0.048665706,0.018783627,Low Risk
0.6920612,0.015404109,Medium / Monitor
0.46346337,0.017702514,Medium / Monitor
0.38430035,0.036531165,Medium / Monitor
0.40109462,0.02071858,Medium / Monitor
0.60604805,0.02040267,Medium / Monitor
0.52633554,0.03122203,Medium / Monitor
0.6498003,0.018750664,Medium / Monitor
0.5379103,0.019236125,Medium / Monitor
0.728665,0.008786157,High Risk (Confident)
0.5832773,0.02359048,Medium / Monitor
0.6111649,0.021045124,Medium / Monitor
0.30638152,0.021587167,Medium / Monitor
0.7708058,0.011650917,High Risk (Confident)
0.3881056,0.014646941,Medium / Monitor
0.48625383,0.02976774,Medium / Monitor
0.3968297,0.017345494,Medium / Monitor
0.34982124,0.016539535,Medium / Monitor
0.7845957,0.01411406,High Risk (Confident)
0.4635817,0.018506842,Medium / Monitor
0.5200206,0.027829627,Medium / Monitor
0.2873496,0.02402844,Low Risk
0.33776045,0.020011725,Medium / Monitor
0.24059282,0.02566168,Low Risk
0.1990111,0.04030085,Low Risk
0.5595204,0.027332522,Medium / Monitor
0.30729905,0.032334004,Medium / Monitor
0.6424064,0.020386884,Medium / Monitor
0.11765446,0.014503061,Low Risk
0.3839728,0.017962722,Medium / Monitor
0.37027025,0.015577433,Medium / Monitor
0.1107144,0.032327637,Low Risk
0.15159036,0.01724965,Low Risk
0.5454007,0.022590965,Medium / Monitor
0.5268745,0.023020314,Medium / Monitor
0.5053486,0.01907764,Medium / Monitor
0.43391082,0.0158039,Medium / Monitor
0.62871444,0.0149364825,Medium / Monitor
0.6086554,0.022589386,Medium / Monitor
0.61773396,0.011499693,Medium / Monitor
0.5715009,0.021608697,Medium / Monitor
0.65558606,0.024906935,Medium / Monitor
0.5076172,0.031194355,Medium / Monitor
0.53466517,0.016551178,Medium / Monitor
0.61178726,0.022792412,Medium / Monitor
0.35097015,0.05599835,Medium / Monitor
0.30464306,0.014906984,Medium / Monitor
0.52683586,0.033364173,Medium / Monitor
0.44069442,0.023568153,Medium / Monitor
0.5534523,0.036786318,Medium / Monitor
0.21124355,0.03535331,Low Risk
0.5858289,0.0388061,Medium / Monitor
0.7083684,0.014970692,High Risk (Confident)
0.16266881,0.024479505,Low Risk
0.25979373,0.016358238,Low Risk
0.27519184,0.01781689,Low Risk
0.32911822,0.014945623,Medium / Monitor
0.49116218,0.0231854,Medium / Monitor
0.62271255,0.031526707,Medium / Monitor
0.74480003,0.013428083,High Risk (Confident)
0.44553372,0.012874251,Medium / Monitor
0.60677433,0.016666098,Medium / Monitor
0.7794995,0.015029464,High Risk (Confident)
0.4826453,0.019768141,Medium / Monitor
0.4427701,0.06134312,Medium / Monitor
0.7289525,0.018097918,High Risk (Confident)
0.7887099,0.024369024,High Risk (Confident)
0.3867323,0.023744442,Medium / Monitor
0.72458947,0.01569804,High Risk (Confident)
0.42971042,0.018328048,Medium / Monitor
0.52231383,0.028465476,Medium / Monitor
0.47190604,0.034875765,Medium / Monitor
0.48155797,0.020885948,Medium / Monitor
0.22701631,0.01403186,Low Risk
0.38698244,0.038448695,Medium / Monitor
0.6250403,0.0297956,Medium / Monitor
0.48788968,0.017426426,Medium / Monitor
0.24110304,0.020216355,Low Risk
0.27553967,0.023228403,Low Risk
0.16103768,0.022204982,Low Risk
0.5134631,0.01507346,Medium / Monitor
0.45062882,0.026393946,Medium / Monitor
0.4773982,0.029972676,Medium / Monitor
0.49451938,0.012706483,Medium / Monitor
0.38535637,0.018209474,Medium / Monitor
0.5283633,0.016842922,Medium / Monitor
0.5860899,0.025302969,Medium / Monitor
0.27954185,0.016477931,Low Risk
0.5645083,0.015178351,Medium / Monitor
0.47285667,0.026475629,Medium / Monitor
0.5335415,0.016415576,Medium / Monitor
0.30658168,0.026927,Medium / Monitor
0.2852416,0.018137826,Low Risk
0.38415423,0.036782168,Medium / Monitor
0.32745987,0.020408785,Medium / Monitor
0.4170912,0.018258438,Medium / Monitor
0.29784435,0.019779066,Low Risk
0.4821402,0.017125167,Medium / Monitor
0.68044764,0.014019142,Medium / Monitor
0.33159497,0.0141994115,Medium / Monitor
0.6004886,0.018179595,Medium / Monitor
0.45601696,0.0144273015,Medium / Monitor
0.38593447,0.016574377,Medium / Monitor
0.5108212,0.024286851,Medium / Monitor
0.71167946,0.020804023,High Risk (Confident)
0.19697943,0.013518435,Low Risk
0.48073542,0.014172671,Medium / Monitor
0.621981,0.017880812,Medium / Monitor
0.46068028,0.04908787,Medium / Monitor
0.19017594,0.033537865,Low Risk
0.6886564,0.02839662,Medium / Monitor
0.49691346,0.014587137,Medium / Monitor
0.36316925,0.027038168,Medium / Monitor
0.5888918,0.034883775,Medium / Monitor
0.25269076,0.029234657,Low Risk
0.3291662,0.028347822,Medium / Monitor
0.56263655,0.029174572,Medium / Monitor
0.5686492,0.02155305,Medium / Monitor
0.16836642,0.04384436,Low Risk
0.27917808,0.020405715,Low Risk
0.29862183,0.015563154,Low Risk
0.6286068,0.013344167,Medium / Monitor
0.5601008,0.026481934,Medium / Monitor
0.45653313,0.03885867,Medium / Monitor
0.2619869,0.023067242,Low Risk
0.39831582,0.019971982,Medium / Monitor
